num_nodes,dataset_size,train_time,f1,billable_seconds,cost
4,600000,,,,
4,100000,,,,
4,1000000,,,,
2,1000000,,,,
1,100000,,,,
4,600000,,,,
1,1000000,,,,
1,100000,,,,
4,1000000,,,,
1,600000,,,,
2,100000,,,,
4,100000,,,,
1,1000000,,,,
2,100000,,,,
2,600000,,,,
